index,p1.championId,p2.championId,p3.championId,p4.championId,p5.championId,p6.championId,p7.championId,p8.championId,p9.championId,p10.championId,p1.xpDiffPerMinDeltas,p2.xpDiffPerMinDeltas,p3.xpDiffPerMinDeltas,p4.xpDiffPerMinDeltas,p5.xpDiffPerMinDeltas,p6.xpDiffPerMinDeltas,p7.xpDiffPerMinDeltas,p8.xpDiffPerMinDeltas,p9.xpDiffPerMinDeltas,p10.xpDiffPerMinDeltas,t1.goldPerMinDeltas,t2.goldPerMinDeltas,t1.firstBlood,t2.firstBlood,t1.firstRiftHerald,t2.firstRiftHerald,t1.win
41,526,145,26,266,104,89,120,3,21,517,-19.5,-19.5,-84.4,-34.7,-25.5,19.5,25.5,84.4,19.5,34.7,1288.8,1414,0,1,0,1,1
42,30,80,58,101,497,163,39,67,360,555,-18.4,0,0,7.25,7.25,18.4,0,0,-7.25,-7.25,1446.4,1590.6,0,1,0,0,1
43,202,876,58,111,84,89,21,39,516,9,0,-2.84E-14,-17.8,0,0,0,0,0,17.8,2.84E-14,1513.4,1560.9,1,0,1,0,1
44,61,39,497,81,76,54,28,555,777,119,-7.8,-34.2,44.25,44.25,-74.8,34.2,74.8,-44.25,7.8,-44.25,1356.6,1310.3,1,0,0,1,0
45,147,54,222,203,518,412,104,142,202,92,40.35,-73.4,40.35,-16.5,-20.4,-40.35,16.5,20.4,-40.35,73.4,1256,1437,0,1,0,1,0
46,98,22,12,147,104,245,157,24,89,523,0,0,0,70.9,77.1,-77.1,-70.9,0,0,0,1703.6,1315.5,1,0,0,0,1
47,38,12,104,202,54,84,203,157,497,126,-17.4,-0.1,49.8,-0.1,-23.3,23.3,-49.8,0.1,0.1,17.4,1400.3,1380.9,1,0,1,0,1
48,145,114,876,131,57,518,412,120,236,516,49.85,-8.1,28,-81,49.85,81,-49.85,-28,-49.85,8.1,1502.4,1378.4,1,0,0,1,1
49,236,61,412,30,516,157,427,164,13,111,-35.85,-54.7,-35.85,101.4,169.6,35.85,-101.4,-169.6,54.7,35.85,1413.3,1336.6,0,1,1,0,1
50,876,39,360,555,236,114,104,134,22,147,0,38.55,27.45,27.45,38.55,-38.55,0,-38.55,-27.45,-27.45,1605.9,1520.1,1,0,0,1,1
51,163,80,236,24,134,157,427,497,54,81,-23.18,-23.18,-23.18,-23.18,-23.18,23.18,23.18,23.18,23.18,23.18,1374.7,1489,0,1,1,0,0
52,80,98,421,55,523,76,89,41,202,777,0,-57.6,-132.6,0,0,132.6,0,57.6,0,0,1558,1315.8,1,0,0,1,1
53,89,80,236,3,163,254,517,145,40,54,38.2,0,38.2,95.3,0,0,-95.3,-38.2,-38.2,0,1663.1,1125.1,1,0,1,0,1
54,22,4,555,427,126,245,432,81,141,429,0,0,0,0,-48.5,48.5,0,0,0,0,1313.3,1610.3,0,1,0,1,1
55,69,50,147,145,121,55,39,236,267,20,-19.3,0,6.1,6.1,0,19.3,0,-6.1,-6.1,0,1266.1,1415,0,1,0,1,1
56,517,89,22,203,106,63,236,141,24,40,0,-56.2,-56.2,2.7,0,56.2,0,-2.7,0,56.2,1290.3,1436.5,1,0,1,0,0
57,2,26,22,61,236,202,120,43,112,72,18.7,11.05,11.05,0,0,-11.05,-18.7,-11.05,0,0,1531.2,1317.7,1,0,1,0,1
58,3,28,201,202,164,74,80,134,59,58,-129.5,-129.5,-129.5,-129.5,-129.5,129.5,129.5,129.5,129.5,129.5,1026.9,1793,0,1,0,1,0
59,30,516,89,202,91,245,497,10,145,875,0,0,0,0,0,0,0,0,0,0,1561.9,1408.1,1,0,0,1,0
60,240,20,131,412,145,119,497,164,32,54,0,-96.3,0,-81,-81,81,81,0,96.3,0,1109.1,1301.8,0,1,1,0,0
61,517,245,360,429,267,89,30,55,8,254,0,0,-61.2,209,-61.2,61.2,61.2,0,-209,0,1334.3,1315.6,0,1,1,0,0
62,67,35,117,3,10,13,22,497,421,429,-28.4,0,-28.4,53.7,0,-53.7,28.4,28.4,0,0,1340.6,1407.8,1,0,0,1,0
63,1,89,202,141,119,64,875,38,516,81,-123.7,0,0,-98.5,0,98.5,0,0,123.7,0,1284.2,1639.1,1,0,0,1,0
64,84,432,517,22,141,85,117,20,246,119,-74.1,-55.9,-44.9,-55.9,51.5,44.9,55.9,-51.5,74.1,55.9,1497.4,1652.1,1,0,0,1,0
65,432,81,91,9,516,89,24,360,20,3,-70.25,-70.25,0,31.3,0,70.25,0,70.25,-31.3,0,1416,1501.1,0,1,0,1,0
66,360,114,142,76,44,104,80,69,235,516,29.52,29.52,29.52,29.52,29.52,-29.52,-29.52,-29.52,-29.52,-29.52,1654.8,1339.6,1,0,1,0,1
67,254,85,117,22,62,202,777,64,147,134,-45.7,-37.5,-21.85,-21.85,104.3,21.85,-104.3,45.7,21.85,37.5,1328.7,1522.3,0,1,1,0,1
68,121,81,412,84,777,12,62,202,517,120,77.98,77.98,77.98,77.98,77.98,-77.98,-77.98,-77.98,-77.98,-77.98,1576.8,1246,1,0,1,0,1
69,114,20,875,50,246,64,134,92,497,45,51.62,51.62,51.62,51.62,51.62,-51.62,-51.62,-51.62,-51.62,-51.62,1685.6,1291.1,1,0,0,1,1
70,202,2,98,517,432,39,518,48,12,81,0,34.4,-11.3,0,0,11.3,0,-34.4,0,0,1526.3,1331.2,0,1,1,0,1
71,104,12,164,21,517,202,236,412,114,876,6.3,15.3,0,15.3,0,-15.3,0,-15.3,0,-6.3,1385.5,1278.1,1,0,0,1,1
72,62,157,427,119,117,84,8,203,498,497,0,66.9,33,0,0,-66.9,0,-33,0,0,1633.2,1221.9,1,0,1,0,1
73,163,36,17,777,432,76,57,235,67,1,0,0,-71.3,8.1,0,71.3,0,0,0,-8.1,1192.4,1387.9,0,1,0,1,0
74,876,56,62,63,12,113,350,81,64,517,73.9,0,0,26.5,26.5,0,-26.5,-26.5,-73.9,0,1427.8,1164.9,1,0,1,0,0
75,78,141,235,201,84,106,40,4,777,2,0,-2,0,0,119.4,0,0,-119.4,0,2,1358.5,1251.2,1,0,1,0,1
76,89,81,876,39,3,55,141,51,24,432,5.9,5.9,52.4,127.4,29.2,-29.2,-52.4,-5.9,-127.4,-5.9,1437.4,1237.1,0,1,1,0,1
77,497,432,39,19,45,246,245,875,145,134,-27.5,-49.65,102.7,-15,-49.65,-102.7,15,49.65,49.65,27.5,1308.6,1296.2,1,0,1,0,1
78,203,54,43,119,412,202,57,432,84,104,91.5,91.5,91.5,91.5,91.5,-91.5,-91.5,-91.5,-91.5,-91.5,1818.2,1123.1,1,0,1,0,1
79,119,412,2,8,4,157,117,67,876,164,0,0,85.1,0,-46.5,0,0,0,-85.1,46.5,1652.6,1285.1,1,0,0,1,1
80,240,254,350,202,142,39,24,876,119,412,-23.44,-23.44,-23.44,-23.44,-23.44,23.44,23.44,23.44,23.44,23.44,1199.7,1575.8,0,1,0,1,0
81,105,62,53,235,104,119,412,76,131,98,0,0,0,0,0,0,0,0,0,0,1409.4,1757.2,1,0,1,0,0
82,104,61,429,412,84,134,421,25,202,24,0,48.1,0,0,63.9,-48.1,0,0,0,-63.9,1366.4,1564.9,0,1,0,1,0
83,202,80,427,58,68,104,134,57,497,81,-12.05,-12.05,3.6,30.2,24.6,-3.6,-24.6,-30.2,12.05,12.05,1316.3,1318.4,0,1,1,0,0
84,68,111,107,41,45,85,119,43,2,54,1.1,-40.55,-53.3,42.7,-40.55,-1.1,40.55,40.55,53.3,-42.7,1230.3,1346.1,0,1,0,1,0
85,421,360,26,1,114,876,68,117,119,14,-79.7,0,0,134.7,134.7,79.7,-134.7,-134.7,0,0,1301.4,1480.6,1,0,1,0,1
86,114,26,81,91,79,59,68,126,45,111,85.4,18.75,18.75,-93.2,56.3,-56.3,93.2,-85.4,-18.75,-18.75,1410.1,1236.2,0,1,0,1,1
87,121,14,81,105,350,68,2,62,89,119,18.2,-6.1,-12.4,-45.7,-12.4,45.7,-18.2,6.1,12.4,12.4,1331.7,1230.5,1,0,1,0,1
88,164,12,55,523,254,202,61,412,203,8,46.1,0,-1.4,0,0,0,1.4,0,0,-46.1,1858.1,1343.7,0,1,1,0,1
89,497,37,164,421,134,111,69,114,876,236,-36.9,-36.9,0,-12.8,0,36.9,36.9,0,12.8,0,1281.2,1420.2,1,0,1,0,0
90,134,3,164,104,497,876,875,22,99,24,-168.4,0,0,-92.8,0,92.8,168.4,0,0,0,1433.9,1320.5,0,1,0,0,0
91,498,164,203,61,497,39,22,518,412,104,0,0,0,0,0,0,0,0,0,0,1235.3,1858.6,0,1,0,1,1
92,27,89,38,22,104,518,238,20,497,202,-35.6,32.3,-177.6,32.3,-5.6,35.6,177.6,5.6,-32.3,-32.3,1290.1,1332,1,0,0,1,0
93,62,238,518,245,81,147,2,21,58,555,26.8,-32.2,-52.2,-82.1,-52.2,52.2,82.1,52.2,-26.8,32.2,1307.7,1663.7,0,1,1,0,0
94,80,517,163,62,202,147,141,54,81,57,-23.5,216.7,-74.3,14.3,-23.5,-14.3,74.3,-216.7,23.5,23.5,1487.9,1346.5,1,0,1,0,1
95,84,163,21,57,80,126,2,517,202,89,0,-33.7,0,0,0,0,33.7,0,0,0,1433.1,1826.1,1,0,0,0,0
96,38,37,30,58,157,236,8,84,89,107,0,0,-12.5,-28.9,0,0,28.9,0,0,12.5,1540.1,1553.6,1,0,0,0,0
97,37,61,58,236,111,57,24,76,145,134,-61.95,-66.4,-12.9,-61.95,-11.2,61.95,12.9,11.2,61.95,66.4,1483.5,1603.6,0,1,1,0,0
98,121,4,69,57,202,236,37,245,10,112,0,-21.4,0,73.95,73.95,0,-73.95,0,21.4,-73.95,1658.8,1224.1,0,1,0,1,1
99,876,238,89,236,517,98,134,120,85,37,-172.1,61.1,64.4,64.4,32.8,-32.8,-64.4,172.1,-61.1,-64.4,1455.5,1293.9,1,0,0,1,0
100,40,39,30,131,203,63,164,80,1,202,18.9,81.2,18.9,-16.3,-64.5,64.5,-81.2,-18.9,16.3,-18.9,1536.2,1410.4,1,0,1,0,1
101,202,92,101,34,121,51,245,236,147,516,3.6,-8.2,3.6,120.3,5.8,-3.6,-5.8,-120.3,-3.6,8.2,1424.5,1235.6,1,0,0,1,1
102,39,245,68,429,526,89,145,76,92,58,55.2,0,0,16.65,16.65,-16.65,-16.65,0,0,-55.2,1544.3,1539.9,0,1,1,0,1
103,497,202,121,85,112,777,498,432,6,102,6.6,6.6,76.8,-62.9,-67.8,67.8,-6.6,-6.6,62.9,-76.8,1464,1330,1,0,1,0,1
104,102,202,92,112,53,516,80,61,104,119,0,68.55,0,13.8,68.55,0,-68.55,-13.8,0,-68.55,1403,1407.3,0,1,1,0,1
105,21,126,107,105,89,22,875,120,429,30,-50.2,-50.2,-50.2,-50.2,-50.2,50.2,50.2,50.2,50.2,50.2,1294.6,1709.8,0,1,0,1,0
106,54,84,427,202,80,62,120,134,360,89,0,0,-163.8,-28.65,-28.65,0,163.8,0,28.65,28.65,1476.7,1505.6,0,1,0,1,0
107,412,3,114,64,235,164,120,145,517,875,0,27.7,-18,0,0,18,0,0,-27.7,0,1414.7,1282.6,0,1,0,0,0
108,21,37,245,68,106,143,120,22,62,157,-17.6,-17.6,-37.8,76.9,44.1,17.6,37.8,17.6,-44.1,-76.9,1342.7,1307.1,1,0,1,0,1
109,84,112,202,98,421,4,30,164,147,236,49.8,45.4,-29.35,-29.35,-40.1,-45.4,40.1,-49.8,29.35,29.35,1455.4,1469.1,1,0,1,0,0
110,12,1,2,202,516,113,21,13,89,517,-23.55,-119.2,91.3,-23.55,114.4,-91.3,23.55,119.2,23.55,-114.4,1378.9,1385.5,1,0,1,0,1
111,421,112,164,89,18,267,21,24,876,202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
112,113,164,777,117,236,202,64,58,267,245,-109.8,0,0,-40.45,-40.45,40.45,109.8,0,40.45,0,1303.2,1874.5,0,1,0,1,0
113,103,267,240,145,121,350,6,7,235,203,32.1,50.5,45.8,50.5,72,-50.5,-45.8,-32.1,-50.5,-72,1504.8,1297.5,0,1,1,0,1
114,876,81,40,517,92,267,104,202,112,41,-43.2,-56.35,-56.35,-97.4,-145.7,56.35,43.2,56.35,97.4,145.7,1403.6,1827.9,0,1,0,1,0
115,412,90,106,21,120,126,30,236,20,26,-10.45,-85.6,46,-10.45,-93.1,-46,10.45,85.6,93.1,10.45,1499.6,1604.9,1,0,1,0,0
116,57,84,113,54,523,145,58,89,517,2,-34.85,-19.1,137.4,-20.4,-34.85,34.85,19.1,34.85,20.4,-137.4,1563.6,1535,0,1,1,0,1
117,101,120,40,67,62,89,61,516,2,21,49.9,69.3,-24.5,-24.5,73.3,24.5,-49.9,-73.3,-69.3,24.5,1592.3,1381.2,1,0,0,1,1
118,145,516,141,112,555,101,111,21,121,78,-19.08,-19.08,-19.08,-19.08,-19.08,19.08,19.08,19.08,19.08,19.08,1525.3,1550.1,1,0,0,1,1
119,10,360,84,421,432,202,106,64,412,7,-43.1,68.1,-41.7,127.2,68.1,-68.1,43.1,-127.2,-68.1,41.7,1525,1380.7,0,1,1,0,1
120,876,142,164,81,53,68,412,236,64,10,-129.7,-36.2,-82.6,-3.65,-3.65,3.65,3.65,36.2,129.7,82.6,1229.7,1476.8,1,0,0,1,0
121,104,58,202,38,412,24,89,76,30,81,0,0,44.85,67.1,44.85,0,-44.85,0,-67.1,-44.85,1531.6,1321.8,1,0,0,1,1
122,202,89,516,30,64,517,62,876,235,80,89.2,89.2,35.8,31.6,-23.7,-31.6,-35.8,23.7,-89.2,-89.2,1494.1,1156.9,1,0,1,0,1
123,245,12,10,202,56,76,80,21,777,54,0,0,51.4,0,-5.1,5.1,0,0,0,-51.4,1344.6,1522.4,0,1,0,1,1
124,245,555,236,41,350,876,4,235,81,266,-70.22,-70.22,-70.22,-70.22,-70.22,70.22,70.22,70.22,70.22,70.22,1171.9,1837,0,1,1,0,0
125,62,421,89,61,202,141,8,875,81,268,-29,-15.5,0,0,0,15.5,29,0,0,0,1562.1,1330.9,0,1,0,0,1
126,84,54,202,80,141,235,120,57,106,8,137.3,-12.6,-23.35,-23.35,78.7,23.35,-78.7,23.35,12.6,-137.3,1446.7,1378.7,1,0,0,1,0
127,92,40,84,32,202,120,81,432,10,85,0,-57.4,0,-52,-57.4,52,57.4,57.4,0,0,1211.1,1770.5,0,1,0,1,1
128,133,10,57,145,2,421,21,111,112,85,0,0,0,0,125.4,-125.4,0,0,0,0,1663.3,1251,1,0,1,0,0
129,145,61,104,54,412,235,126,21,876,134,-37.35,-4.1,99.7,12.3,-37.35,37.35,-12.3,37.35,-99.7,4.1,1451.4,1473.7,1,0,1,0,1
130,76,202,238,26,10,40,90,236,30,62,92,52.45,150.7,52.45,-126.1,-52.45,-150.7,-52.45,-92,126.1,1540.9,1213.1,1,0,1,0,1
131,497,164,91,30,360,1,266,51,92,84,-18.2,-108.8,-62.8,18.3,-18.2,18.2,108.8,18.2,-18.3,62.8,1307.2,1345.8,1,0,0,0,1
132,131,68,267,57,104,61,120,517,22,555,0,0,0,-99.4,-10.5,0,10.5,99.4,0,0,1414.6,1670.2,0,1,0,1,0
133,14,81,147,104,432,61,12,202,98,64,-34.6,27.25,112.4,41.4,27.25,-112.4,-27.25,-27.25,34.6,-41.4,1361.4,1321.7,0,1,1,0,0
134,25,51,84,876,126,81,117,89,4,104,0,0,0,0,0,0,0,0,0,0,1370,1395.1,1,0,1,0,1
135,429,80,412,131,163,245,236,12,55,62,9.45,30.5,9.45,94.3,124.9,-124.9,-9.45,-9.45,-94.3,-30.5,1645,1303.1,1,0,1,0,1
136,53,516,117,120,21,80,67,777,412,79,-68.35,0,-68.35,76,0,68.35,0,68.35,0,-76,1338.3,1333.2,0,1,0,1,1
137,26,98,105,21,421,254,34,53,145,80,-19.4,134.3,-11.7,-19.4,2.6,-2.6,11.7,19.4,19.4,-134.3,1243.8,1371.6,0,1,1,0,0
138,34,89,145,266,2,25,54,67,163,875,0,0,0,-5.9,-144.7,0,5.9,0,144.7,0,1311.3,1602.1,0,1,1,0,1
139,236,57,113,39,1,555,427,81,84,62,64.4,64.4,0,0,-100,-64.4,0,-64.4,100,0,1438.8,1300,1,0,0,1,1
140,62,202,43,120,112,113,80,21,526,84,36.2,-69.1,-69.1,140.8,52.8,-140.8,-36.2,69.1,69.1,-52.8,1434.6,1497.6,0,1,0,1,1
141,236,157,163,80,57,21,34,526,28,41,9,0,6.2,0,9,-9,0,-9,-6.2,0,1431,1436.1,0,1,0,1,1
142,67,267,36,246,82,164,28,555,81,62,-7.6,-7.6,0,0,-44.1,0,0,7.6,7.6,44.1,1457.3,1364.5,1,0,1,0,1
143,114,112,20,267,202,142,104,81,555,8,-80.7,48.1,-16.7,-8.3,-8.3,-48.1,16.7,8.3,8.3,80.7,1349.8,1474.9,0,1,1,0,1
144,98,104,119,89,1,497,245,121,114,202,28.78,28.78,28.78,28.78,28.78,-28.78,-28.78,-28.78,-28.78,-28.78,1608.9,1386.1,1,0,1,0,0
145,61,266,50,25,64,412,6,115,58,236,-30.3,0,3.6,3.6,0,-3.6,0,30.3,0,-3.6,1214.7,1580.1,0,1,1,0,0
146,55,30,57,114,235,412,777,517,429,106,38.7,-43.2,57.65,-52.6,57.65,-57.65,52.6,-38.7,-57.65,43.2,1453.5,1240.4,0,1,1,0,1
147,164,517,40,238,202,23,4,76,360,1,0,-59.8,-7.85,0,-7.85,0,0,59.8,7.85,7.85,1544.1,1338.5,0,1,0,0,1
148,84,164,157,427,12,92,9,81,266,43,-1.5,0,-28.25,0,-28.25,0,0,28.25,1.5,28.25,1246.8,1500.1,0,1,1,0,0
149,235,39,120,1,40,64,517,80,360,84,-11.2,169.4,68.8,-57,-11.2,-68.8,57,11.2,11.2,-169.4,1425.5,1330.3,0,1,1,0,1
150,68,91,80,21,104,81,203,201,1,54,-33.4,67.2,0,0,67.2,0,-67.2,-67.2,0,33.4,1395.1,1417.4,1,0,1,0,0
151,134,89,92,202,121,76,1,523,114,39,-3.5,37.3,22.8,37.3,-31.9,31.9,-37.3,-37.3,-22.8,3.5,1457.3,1329.2,1,0,0,1,1
152,10,121,517,119,12,89,81,203,112,114,-3.9,26.6,114,-18.25,-18.25,18.25,18.25,-26.6,-114,3.9,1510.8,1507.5,0,1,1,0,0
153,4,245,126,202,40,517,81,497,164,104,0,21.6,0,-0.8,-0.8,0,0.8,0.8,0,-21.6,1647.9,1355.1,0,1,1,0,1
154,39,203,63,516,875,61,3,40,104,119,0,-144.7,46.1,0,46.1,0,0,-46.1,144.7,-46.1,1464.6,1307.2,1,0,0,1,1
155,81,57,84,350,141,98,119,421,412,105,0,-24.6,0,0,132.7,24.6,0,-132.7,0,0,1378.5,1358.6,0,1,0,1,0
156,89,523,121,1,114,68,202,40,142,2,5.25,5.25,6.1,-91.2,10.4,-10.4,-5.25,-5.25,91.2,-6.1,1341.2,1481.6,0,1,0,1,0
157,875,63,245,91,41,412,119,157,121,13,61.75,61.75,-71.9,-84.2,-42.4,-61.75,-61.75,84.2,71.9,42.4,1369,1554.3,0,1,0,1,0
158,236,76,111,27,202,57,267,238,121,157,-111.5,119,-4.05,231.9,-4.05,-231.9,4.05,111.5,-119,4.05,1625.9,1273.9,1,0,1,0,0
159,61,203,157,111,24,37,84,876,202,54,0,-91.1,0,0,41.5,0,0,91.1,0,-41.5,1350.9,1410.3,1,0,1,0,1
160,79,157,37,22,236,84,64,202,111,8,-125.3,-69.9,-7,-7,-82.5,69.9,125.3,7,7,82.5,1365.5,1477.6,1,0,0,1,1
161,523,61,68,102,201,876,157,16,134,92,-38.05,8.8,10.2,111.2,-38.05,-111.2,38.05,38.05,-8.8,-10.2,1326.8,1436.9,0,1,1,0,0
162,84,59,80,67,39,24,245,126,81,161,193.5,-39.9,-40.45,-40.45,1.3,-1.3,39.9,-193.5,40.45,40.45,1433.1,1186.7,1,0,1,0,0
163,245,39,69,89,81,497,203,114,13,202,21.5,21.5,21.5,21.5,21.5,-21.5,-21.5,-21.5,-21.5,-21.5,1464.6,1263.6,1,0,1,0,1
164,89,79,119,39,41,245,58,91,497,498,-34.55,-60.2,-34.55,-42.1,-24.6,60.2,42.1,24.6,34.55,34.55,1383.8,1631.7,0,1,0,1,0
165,245,412,202,62,2,56,517,1,20,119,15.3,27.75,27.75,0,0,-15.3,0,-27.75,0,-27.75,1351.1,1265.5,0,1,0,1,1
166,81,39,76,31,80,45,412,245,62,238,-9.9,-9.9,-9.9,-9.9,-9.9,9.9,9.9,9.9,9.9,9.9,1248.5,1390.3,0,1,1,0,0
